topic,count,rank
Object Detection,11,1
Video Understanding,11,2
Neural Rendering,10,3
Object Tracking,8,4
Image Generation,8,5
Semantic Segmentation,6,6
Scene Understanding,5,7
Pose Estimation,2,8
Depth Estimation,2,9
Classification,1,10
Action Recognition,1,11
Optical Flow,1,12
