author,count,rank
Tao Liu,17,1
Hao Li,13,2
Hao Wang,11,3
Saeid Jamshidi,11,4
Xiang Li,10,5
Yu Li,10,6
Yu Wang,10,7
Lei Wang,9,8
Yida Lin,9,9
Qihang Fan,8,10
Yizhan Feng,8,11
Yuxuan Li,8,12
Jiahao Li,8,13
Haoyu Wang,8,14
Tao Li,8,15
Yifan Wang,7,16
Wei Huang,7,17
Teerapong Panboonyuen,7,18
Markus Gross,7,19
Hao Chen,7,20
