author,count,rank
Yun Li,4,1
Pengcheng Fang,3,2
Maximilian Scharf,2,3
Anas Gamal Aly,2,4
Zi-Yang Bo,2,5
Markus Käppeler,2,6
Hari Prasanth S. M.,2,7
Fangqiang Fan,2,8
Genki Kinoshita,2,9
Ali Shibli,2,10
Shuo Wang,2,11
Yuchao Mei,2,12
Balázs Opra,2,13
Lingjie Zeng,2,14
MotuBrain Team,2,15
Fabio D'Oronzio,2,16
Luca Parolari,2,17
Hao Li,2,18
Yuwei Sun,2,19
Hanyi Wang,2,20
