author,count,rank
Zhe Feng,3,1
Bock-Zien Toh,2,2
Tianheng Zhu,2,3
Jose Moises Araya-Martinez,2,4
Preeti Chatterjee,2,5
Tao Wan,2,6
Alexandros Alexiou,2,7
Milad Mirjalili,2,8
Maria Damanaki,2,9
Jingying Wang,2,10
Zheng Yu,1,11
Esther Bou Dagher,1,12
Sophie Henning,1,13
Shengjie Zhang,1,14
Raul Taranco,1,15
Xiaokai Bai,1,16
Qiangqiang Zhou,1,17
Anthony Girmenia,1,18
Biswadeep Sen,1,19
Markus Käppeler,1,20
